samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
subsample_7.csv,ft_transformer,10,0.7408,0.7302,0.7918,0.7381,0.7334,0.7878,0.7426,0.7453,0.7843,0.7191,0.7254,0.769
subsample_10.csv,ft_transformer,10,0.7612,0.7606,0.7998,0.7426,0.7311,0.7931,0.7422,0.7274,0.799,0.7309,0.7322,0.7783
subsample_8.csv,ft_transformer,10,0.7182,0.7221,0.7748,0.7454,0.7334,0.7935,0.7408,0.7302,0.7879,0.7105,0.7115,0.7733
subsample_3.csv,ft_transformer,10,0.7707,0.7751,0.8066,0.7472,0.7445,0.7944,0.7467,0.7382,0.7974,0.7395,0.7542,0.7795
subsample_1.csv,ft_transformer,10,0.7698,0.7718,0.8045,0.7367,0.7439,0.7953,0.7463,0.7338,0.8038,0.7191,0.7451,0.7721
subsample_2.csv,ft_transformer,10,0.7757,0.7728,0.8071,0.7508,0.7376,0.8059,0.7603,0.7499,0.8088,0.7535,0.7543,0.802
subsample_6.csv,ft_transformer,10,0.7367,0.7309,0.7989,0.7417,0.7476,0.8011,0.7363,0.7301,0.7967,0.7336,0.7349,0.7808
subsample_5.csv,ft_transformer,10,0.7599,0.7593,0.802,0.725,0.7204,0.7776,0.7458,0.7387,0.794,0.7209,0.7385,0.772
subsample_4.csv,ft_transformer,10,0.7413,0.7336,0.785,0.7571,0.7581,0.7823,0.7395,0.7351,0.7769,0.7227,0.7373,0.7663
subsample_9.csv,ft_transformer,10,0.7662,0.7637,0.7951,0.7512,0.755,0.7865,0.7662,0.7644,0.7944,0.7028,0.7399,0.7619
subsample_7.csv,ft_transformer,20,0.7499,0.7466,0.7885,0.7553,0.7568,0.7833,0.7268,0.7273,0.7669,0.7354,0.745,0.7811
subsample_10.csv,ft_transformer,20,0.7585,0.7572,0.8129,0.7621,0.7606,0.8055,0.7617,0.7648,0.8072,0.7549,0.7542,0.8024
subsample_8.csv,ft_transformer,20,0.7621,0.7655,0.8028,0.7599,0.7623,0.7994,0.7544,0.7536,0.802,0.7571,0.7548,0.7976
subsample_3.csv,ft_transformer,20,0.7721,0.7723,0.8066,0.7567,0.767,0.8143,0.7662,0.7684,0.8033,0.7431,0.7459,0.7792
subsample_1.csv,ft_transformer,20,0.763,0.7609,0.8061,0.7639,0.7622,0.8062,0.7676,0.7682,0.8009,0.7535,0.7633,0.7913
subsample_2.csv,ft_transformer,20,0.7707,0.7615,0.8151,0.7716,0.7643,0.8146,0.7744,0.7697,0.814,0.7608,0.7553,0.8016
subsample_6.csv,ft_transformer,20,0.7571,0.7544,0.8015,0.763,0.7604,0.8091,0.7594,0.7552,0.8053,0.7435,0.7524,0.7895
subsample_5.csv,ft_transformer,20,0.729,0.7487,0.794,0.7599,0.7617,0.8017,0.7467,0.7579,0.8003,0.7408,0.7444,0.7923
subsample_4.csv,ft_transformer,20,0.7517,0.7582,0.7832,0.7549,0.7592,0.7919,0.7377,0.7301,0.789,0.7558,0.7562,0.7913
subsample_9.csv,ft_transformer,20,0.7657,0.7662,0.7991,0.7567,0.7538,0.7936,0.7576,0.7533,0.7977,0.7472,0.7544,0.7876
subsample_7.csv,ft_transformer,30,0.7522,0.7559,0.787,0.7535,0.7601,0.7928,0.749,0.7536,0.7796,0.7395,0.7479,0.7778
subsample_10.csv,ft_transformer,30,0.758,0.7507,0.8031,0.7472,0.7632,0.806,0.7639,0.7637,0.8099,0.7562,0.7628,0.8022
subsample_8.csv,ft_transformer,30,0.739,0.7463,0.7966,0.7508,0.7356,0.7982,0.7671,0.7664,0.8107,0.7517,0.7549,0.7971
subsample_3.csv,ft_transformer,30,0.7599,0.7486,0.8063,0.7698,0.7728,0.8138,0.7671,0.7623,0.8116,0.7617,0.7519,0.7978
subsample_1.csv,ft_transformer,30,0.7653,0.7615,0.8048,0.7648,0.7711,0.8034,0.7676,0.7678,0.8061,0.7454,0.7223,0.7987
subsample_2.csv,ft_transformer,30,0.7707,0.7733,0.8178,0.7757,0.7749,0.8111,0.768,0.772,0.8123,0.7553,0.7426,0.8074
subsample_6.csv,ft_transformer,30,0.7585,0.757,0.8047,0.7612,0.7692,0.8068,0.7522,0.7336,0.7846,0.7558,0.7562,0.7917
subsample_5.csv,ft_transformer,30,0.7562,0.7557,0.8002,0.7608,0.7589,0.8036,0.7571,0.7561,0.7992,0.7417,0.7314,0.7885
subsample_4.csv,ft_transformer,30,0.7431,0.7514,0.7904,0.7576,0.7596,0.7896,0.7562,0.7596,0.787,0.7512,0.7483,0.7932
subsample_9.csv,ft_transformer,30,0.7589,0.7586,0.7943,0.7662,0.7694,0.7962,0.7612,0.764,0.7931,0.7558,0.7535,0.7945
subsample_7.csv,ft_transformer,50,0.7508,0.7538,0.7923,0.7499,0.757,0.7906,0.7508,0.7592,0.7867,0.7444,0.7478,0.787
subsample_10.csv,ft_transformer,50,0.7635,0.7674,0.8061,0.7639,0.7607,0.8069,0.7648,0.764,0.8059,0.7517,0.7495,0.798
subsample_8.csv,ft_transformer,50,0.754,0.7573,0.7961,0.7531,0.7634,0.8089,0.7594,0.7618,0.7965,0.7558,0.7567,0.7964
subsample_3.csv,ft_transformer,50,0.7703,0.7675,0.8088,0.7657,0.7655,0.8073,0.7657,0.7596,0.8066,0.7449,0.7356,0.7914
subsample_1.csv,ft_transformer,50,0.7694,0.7664,0.8077,0.7671,0.7707,0.8083,0.7648,0.7721,0.8069,0.7576,0.7503,0.8034
